Index,Shape,Description,Image URL,R,G,B,Admiration,Amusement,Anger,Annoyance,Approval,Caring,Confusion,Curiosity,Desire,Disappointment,Disapproval,Disgust,Embarassment,Excitement,Fear,Gratitude,Grief,Joy,Love,Nervousness,Optimism,Pride,Realization,Relief,Remorse,Sadness,Suprise,Neutral
46,Lemniscate,"A figure-eight-shaped curve, often symbolizing infinity.",http://mrmrsenglish.com/wp-content/uploads/2024/02/46-20.png,220,139,139,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Mobius strip,"A surface with only one side and one boundary, is formed by twisting a strip of paper.",http://mrmrsenglish.com/wp-content/uploads/2024/02/47-20.png,223,241,245,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Cross,"Two intersecting lines or bars, typically forming a perpendicular shape.",http://mrmrsenglish.com/wp-content/uploads/2024/02/48-20.png,197,204,204,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Infinity symbol,A sideways figure-eight symbol representing eternity.,http://mrmrsenglish.com/wp-content/uploads/2024/02/49-20.png,96,202,195,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
50,Quatrefoil,A four-lobed or four-petaled shape.,http://mrmrsenglish.com/wp-content/uploads/2024/02/50-20.png,252,244,226,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
51,Reuleaux triangle,"A shape formed by the intersection of three circles of equal radius, creating a curve of constant width.",http://mrmrsenglish.com/wp-content/uploads/2024/02/51-20.png,11,236,252,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0
52,Cycloid,The curve traced by a point on the circumference of a circle as it rolls along a straight line.,http://mrmrsenglish.com/wp-content/uploads/2024/02/52-20.png,238,219,227,0.0,14.285714285714285,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,14.285714285714285,0.0,0.0,0.0
53,Epicycloid,A curve traced by a point on the circumference of a circle as it rolls around the outside of another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/53-20.png,187,187,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0
54,Hypocycloid,A curve traced by a point on the circumference of a circle as it rolls around the inside of another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/54-20.png,65,65,166,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Astroid,A four-pointed star-shaped curve formed by the path of a point on a circle rolling along another circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/55-20.png,76,76,76,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0
